id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1567480956998807559","2022-09-07 19:52:37 +08:00","By age 30, you need to master these money skills if you want to be 10 years ahead financially.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",50898,12559,18296,429,474,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1567480956998807559"
"1878792493392687143","2025-01-13 21:13:31 +08:00","If you are in your 20s, avoid these financial traps to be 10 years ahead of people your age:","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",241,44,135,2,28,96460,false,false,false,"https://twitter.com/AccentInvesting/status/1878792493392687143"
"1878792534769418310","2025-01-13 21:13:41 +08:00","• Not setting up an emergency fund\n\nHaving an emergency fund allows you to deal with life's unexpected curveballs.\n\nPeople's finances suffer as a result of failing to save for emergencies.\n\nTo deal with emergencies, far too many people resort to debt.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1878792531766354078","null","null",13,2,0,0,2,1209,false,false,false,"https://twitter.com/AccentInvesting/status/1878792534769418310"
"1878792537978093825","2025-01-13 21:13:41 +08:00","• Running away from reality\n\nIt takes a bit of dissonance to tell yourself financial lies even though the reality is totally different.\n\nThese lies cloud your ability to manage your money more effectively.\n\nIf you want to improve your finances, be honest with yourself.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1878792534769418310","null","null",17,2,0,0,2,2360,false,false,false,"https://twitter.com/AccentInvesting/status/1878792537978093825"
"1878792541711028704","2025-01-13 21:13:42 +08:00","If you enjoyed this thread, please like, comment, and retweet the first tweet.\n\nI write about\n\n- Personal Finance\n- Investing\n- Wealth\n\nSubscribe to receive a free guide on the top 5 ETFs to hold for life: https://t.co/Id5i5yY4ce","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1878792537978093825","null","1878792493392687143",12,2,1,0,4,3651,false,false,false,"https://twitter.com/AccentInvesting/status/1878792541711028704"
"1878849570202931515","2025-01-14 01:00:19 +08:00","First, use your 9-to-5 to start a side hustle.\n\nThen, use your side hustle to generate passive income.\n\nFinally, your passive income will lead you to financial independence.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",217,43,49,0,34,44348,false,false,false,"https://twitter.com/AccentInvesting/status/1878849570202931515"
"1878991248335192570","2025-01-14 10:23:18 +08:00","RT @AccentInvesting: Wealth creation is the process of transforming active income into passive income.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","1868702768661176420","null",0,54,0,0,0,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1878991248335192570"
"1879009515682631770","2025-01-14 11:35:53 +08:00","Your net worth is an indicator of your attitude.\n\nThink big, take calculated risks, and watch your wealth grow.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",269,40,35,1,26,37684,false,false,false,"https://twitter.com/AccentInvesting/status/1879009515682631770"
"1879039071550423537","2025-01-14 13:33:20 +08:00","RT @AccentInvesting: People who value assets over social status are more likely to achieve financial independence.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","1837246308236579073","null",0,52,0,0,0,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1879039071550423537"
"1879156648616329343","2025-01-14 21:20:32 +08:00","If you are in your 20s, here is the best financial advice to ensure that you build wealth in your 30s and 40s:","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",240,41,197,3,27,99393,false,false,false,"https://twitter.com/AccentInvesting/status/1879156648616329343"
"1879156701229731879","2025-01-14 21:20:45 +08:00","• Do not just save money. Make an effort to invest your money. Compound interest is a fantastic ally if you start investing early and consistently.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1879156698465640548","null","null",27,5,2,0,1,2309,false,false,false,"https://twitter.com/AccentInvesting/status/1879156701229731879"
"1879156704262111269","2025-01-14 21:20:45 +08:00","If you enjoyed this thread, please like, comment, and retweet the first tweet.\n\nI write about\n\n- Personal Finance\n- Investing\n- Wealth\n\nSubscribe to receive a free guide on the top 5 ETFs to hold for life: https://t.co/Id5i5yY4ce","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1879156701229731879","null","1879156648616329343",16,4,3,0,2,3472,false,false,false,"https://twitter.com/AccentInvesting/status/1879156704262111269"
"1879212010933551615","2025-01-15 01:00:32 +08:00","The person you marry is the most important financial decision you will ever make.\n\nThe right one: an asset who will collaborate with you.\n\nThe wrong one: a liability who will ruin you.\n\nChoose wisely.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",303,51,61,2,34,43682,false,false,false,"https://twitter.com/AccentInvesting/status/1879212010933551615"
"1879253038289780877","2025-01-15 03:43:33 +08:00","RT @AccentInvesting: Many aspects of your life will become simpler if you practice financial discipline.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","1869098488115401016","null",0,53,0,0,0,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1879253038289780877"
"1879283482376966526","2025-01-15 05:44:32 +08:00","RT @AccentInvesting: From 18-35, read this if you want to build wealth in the next 5 years:","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","1869005865845469587","null",0,65,0,0,0,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1879283482376966526"
"1879373377623736322","2025-01-15 11:41:44 +08:00","RT @WisdomBuilder: ""If you're always trying to be normal, you will never know how amazing you can be.” Maya Angelou","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","1879373373035135210","null",0,6,0,0,0,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1879373377623736322"
"1879401528814973218","2025-01-15 13:33:36 +08:00","RT @AccentInvesting: People who value assets over social status are more likely to achieve financial independence.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","1670944900324511744","null",0,45,0,0,0,"null",false,false,false,"https://twitter.com/AccentInvesting/status/1879401528814973218"
"1879522602424639700","2025-01-15 21:34:42 +08:00","Financial literacy comes before wealth creation.\n\nYou must first learn before you can earn.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",97,25,15,1,0,4523,false,false,false,"https://twitter.com/AccentInvesting/status/1879522602424639700"
"1879523805187477530","2025-01-15 21:39:29 +08:00","Disappear for 6 months and commit to these micro-habits to change your life forever:","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","null","null","null",350,60,249,3,28,103295,false,false,false,"https://twitter.com/AccentInvesting/status/1879523805187477530"
"1879523846207725643","2025-01-15 21:39:39 +08:00","• Normalize saying no\n\nSaying yes to everyone and everything can lead to burnout.\n\nHow to say no effectively:\n\n- Be direct and clear\n- Set boundaries\n- Be assertive and courteous\n- Be firm and selfish","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1879523842046984310","null","null",11,1,3,0,1,1096,false,false,false,"https://twitter.com/AccentInvesting/status/1879523846207725643"
"1879523849177305140","2025-01-15 21:39:40 +08:00","• Pay it forward\n\nThere is a great internal satisfaction when we do an act of kindness toward others. \n\nEven if it is a small gesture such as complimenting, visiting, or opening a door for someone else.","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1879523846207725643","null","null",9,1,2,0,1,2057,false,false,false,"https://twitter.com/AccentInvesting/status/1879523849177305140"
"1879523852373430460","2025-01-15 21:39:40 +08:00","If you enjoyed this thread, please like, comment, and retweet the first tweet.\n\nI write about\n\n- Personal Finance\n- Investing\n- Wealth\n\nSubscribe to receive a free guide on the top 5 ETFs to hold for life: https://t.co/Id5i5yY4ce","[]","AccentInvesting","Kenny | Accent Investing","https://pbs.twimg.com/profile_images/1482922686196199428/ouqAaUz2_normal.jpg","1879523849177305140","null","1879523805187477530",11,1,2,0,1,2988,false,false,false,"https://twitter.com/AccentInvesting/status/1879523852373430460"
